zyl_zyr,n_sto,pil_enl_1,id,pil_enl_2,pir_exr_2,n_gn,psl_exl_1,psr_pir_2,psr_pir_1,psl_exl_2,enl_enr,exl_enl,psl_pil_2,psl_pil_1,prn_gn,enr_exr,sn_gn,pir_exr_1,n_sn,psr_exr_1,psr_exr_2,gol_gor,pil_exl_2,pil_exl_1,img_name,enl_gn,exl_exr,pir_enr_1,enr_gn,pir_enr_2,enr_se,chl_chr,enl_se,sn_ls,psr_enr_2,psr_enr_1,si_gn,n_prn,gn_sto,psl_enl_2,psl_enl_1
430.71594749829126,221.53610747326772,52.620047518881854,2,30.79064169364981,30.949507989413217,366.63987487382178,33.544324153544252,19.646465242709318,20.146599877518906,57.639045677621645,149.82856871528776,83.163563863567276,24.741954580890159,22.47663888204481,256.54553190996137,86.846908350520081,207.29109628650582,56.038614846229805,159.34877858731596,70.01884887338683,37.321811630579383,352.61256935162419,63.211133903092161,32.567590631445263,img\DSCN3394.JPG,393.64126121667653,319.83904092937507,35.997925832552895,407.49204863247087,66.712076346761123,78.073958462266404,181.71950660551906,84.004966837423837,46.589012216762939,57.609625993221222,33.020653771214228,81.827910191780816,172.86418160094382,145.10376740055409,40.322619439438505,65.223440316091796
404.32502181304784,230.19860259708068,64.565490029893951,10,35.32970173405208,28.485977917538854,423.93597143467014,39.760399424025643,24.491533538577531,25.984337837199796,69.977757669646351,122.84620579800963,77.01915876771254,28.288300635985891,27.306730686207061,328.23971778922248,73.713176645193755,268.90926749148213,55.642746528085404,155.02670394318801,65.185787706490487,34.872999049085351,352.58810571012395,59.889399852475456,30.476383649034478,img\DSCN3406.JPG,477.43835015559876,272.81509791664325,34.51172677590305,465.74812471205269,63.331711134685925,72.792954817275728,181.80175090659856,82.295097247773242,51.177966548188991,67.864655694428478,38.765196558277829,154.35869106069995,170.234221706775,193.73736883758943,47.797003387839638,68.79169398033045
422.48047617240536,267.59014984681494,81.591774678789179,15,42.860730624909806,36.835450217996488,422.06073753731727,44.634464857057317,41.601514719644484,44.065786706292499,83.020240033686605,150.1851916258093,92.051390666071583,40.856817141262276,42.705021131247982,292.24640966926398,102.39591702760438,235.14841534127626,76.101322532713922,186.91232219604098,80.291938905612113,46.645148318690289,369.93190705053667,64.274170992401707,34.736757042554437,img\DSCN3413.JPG,517.45649732812501,344.63249931948525,40.944826855071199,375.46297906452355,72.127345455345022,103.09999473807484,158.51226454772365,84.292995894922029,61.647419534106739,93.730345206425355,55.073770910384319,123.89059713091962,168.89064079918276,154.47058769050233,69.229794877638298,86.127659928937462
474.22955755189145,308.24205983054566,59.598006220053833,21,32.622568497867235,17.506786602530152,536.68178306628806,45.340533706786793,26.192060111567624,24.00541478105745,72.493082888765983,179.33216501876112,77.826862620198497,27.860995021147868,27.68388356135527,443.03750469080745,84.815953302764967,342.5131273003239,48.004017582891819,194.16865576596425,70.265565682918734,36.27378936127414,397.95582619448538,60.476751539791714,31.049001297406058,img\DSCN3421.JPG,523.96381785736776,341.9749809417246,36.811935719873141,565.2648478850499,69.216520882611491,71.634773506696561,180.47657752818728,107.69739151206456,106.48485921041058,59.550322365494296,36.961799262774356,165.16324823539023,207.68362254394862,228.43972323574249,46.076227462846695,70.44267714271102
467.17154994759255,186.99097847884147,46.958473147151025,25,25.763261903257614,24.417318405409318,345.30248414242072,29.094132175710342,8.9049797079859037,11.52888975934663,52.049946277900503,122.77315916483757,66.637798532357337,11.175409648800782,9.414806790504036,272.18648281486446,64.714051007655044,234.60882798604979,47.182797063459489,133.41155095338596,43.335302014054591,22.282842353266012,397.0941180318452,43.444065124991724,23.363675768204882,img\DSCN3426.JPG,401.37666552499894,254.12500870484993,19.51618071880014,394.58576878585518,40.296732602245719,73.850152326382656,163.85162662694458,81.551940119625414,41.10565823984129,44.823997095008188,21.378748993600446,178.85413824184971,126.77020349178117,196.60971610235325,25.491354125914619,37.611643300982699
308.71522167211936,148.83600916707084,47.19458540956569,28,25.197458362586758,26.248210918998783,242.74444352248472,26.138328298720502,20.438167371779063,21.729288160050459,47.558571589237978,82.199067631998503,63.326727599185908,21.543861238330543,22.120744994791998,177.9961095234471,61.692223622545043,144.91457315588616,48.993913316624152,101.12634897495022,49.666944365829423,26.632800089972935,254.35766295315614,50.614681965730398,27.491258060898122,img\DSCN3430.JPG,308.0490582866816,201.54532858185772,28.081877144894367,269.81677409357127,49.824900632479455,54.742147889937335,106.05046389617519,55.696753153605712,35.945352158566386,53.382350463992488,31.955239509707461,79.754179330804803,112.08027268395148,99.457506679472218,36.954898732373906,54.055381513197595
312.50944379052589,160.82043701784059,44.291964095302809,32,22.643996740655538,16.56334181768031,283.19274668765922,31.50378260780845,19.237994154934274,20.965373789410478,54.280118917234716,89.858567195078351,58.445332713270282,18.478782944619972,17.35041398984098,213.34531533875224,47.837271490256235,175.83053021258436,35.320734380764272,121.61309845950412,34.359531197063646,18.903662612777229,280.30913713655747,43.43523951852638,24.726603638673723,img\DSCN3440.JPG,277.00064791729801,196.14117139860488,18.882766891392613,296.85854847331473,32.611255841202819,36.894878725085618,85.317230414115727,73.845479373864123,40.802378624041815,45.831282237316039,25.388301482525421,97.227791603448864,118.06082582408942,122.37230966981858,31.441095443653971,43.881014908068416
373.95877989791376,177.50906084354125,48.837307226638003,38,27.255472661035363,25.647534278385596,289.44113654525444,29.529818966532705,17.039255788763345,19.117959401314064,53.22092631545884,110.99665907606568,63.779517900386551,19.04459339145939,16.935320608135896,213.7029590385456,62.306083869137019,171.79873974318053,47.504491380943399,118.47387824709465,52.695136578166334,27.879083744800909,328.75920399323985,50.463587111751437,27.451115353981571,img\DSCN3469.JPG,364.26223892877903,237.08226084558925,28.728906692284752,335.14816068475699,51.466255913099459,70.058425577121284,137.96478153183665,72.448934731554786,41.042168679571709,51.985931816236857,29.529818966532286,92.850799305326717,130.37751334602592,117.21442841125459,36.493476068577856,52.762388753866446
332.40500038036811,129.68188623456084,39.347951412193368,41,20.874671802718538,20.55940522986225,264.63610281518089,22.43088126873046,4.6552127991925101,6.2583768611619623,41.789590401971239,94.298244281045413,59.732953857071472,5.7485841050544524,5.6412593142952252,226.05954833657105,54.52770150523699,179.84281031577146,37.845404341560837,84.793292499409475,37.999683728277589,19.311754537283701,300.97896008610849,38.858282054352934,20.385002444878104,img\DSCN3475.JPG,302.99800771227143,208.55889964335387,21.042366788279917,242.25888394182971,38.127131917304361,46.169783424842379,128.88365810328733,48.128460856203034,26.140294349355322,38.153963114994049,21.827179320708641,97.390539814803091,87.999620623348676,134.95421658062008,22.135738094142315,37.302072588341012
366.37565188313908,183.9062885680537,55.2007593675553,49,29.228671150342624,21.137573347410637,314.45161926067124,35.822412264433389,23.29296122686392,25.132762718983059,62.150374492895033,98.489811264238057,70.959934922311547,21.721743894178577,22.077617905427847,221.01790479776759,60.404577456577812,181.1600155378471,44.403676158331542,133.29160372282414,47.149949188538294,26.851701339356811,314.23675193312482,46.122614778705447,25.616214205963249,img\DSCN3488.JPG,373.4864175041389,229.85432364312743,26.67712163572509,291.66225333274531,45.135567992787429,45.565302647881133,140.68438271122955,60.149422505115986,31.974944180549677,54.59644500883018,30.779744671070635,91.238038959535544,113.86625439180156,130.54533069261754,40.435345202702592,50.782549944875456
