zyl_zyr,n_sto,pil_enl_1,id,pil_enl_2,pir_exr_2,n_gn,psl_exl_1,psr_pir_2,psr_pir_1,psl_exl_2,enl_enr,exl_enl,psl_pil_2,psl_pil_1,prn_gn,enr_exr,sn_gn,pir_exr_1,n_sn,psr_exr_1,psr_exr_2,gol_gor,pil_exl_2,pil_exl_1,img_name,enl_gn,exl_exr,pir_enr_1,enr_gn,pir_enr_2,enr_se,chl_chr,enl_se,sn_ls,psr_enr_2,psr_enr_1,si_gn,n_prn,gn_sto,psl_enl_2,psl_enl_1
0.3744864421954881,0.1703714355576228,0.03951058431583275,76,0.021252861180509775,0.019770581447749902,0.2793534240449797,0.01923578692826464,0.009404896647305292,0.0109506422183351,0.04050716237264083,0.10962580334709335,0.05722221255094306,0.012391287291340647,0.009944352175207635,0.2032191204836816,0.05387731916645791,0.16195345375864617,0.03870887670385662,0.11742767456678606,0.041625651539913176,0.02031979436971812,0.35114687131692723,0.03916724028944154,0.020245484863302465,img\DSCN3539.JPG,0.28343360028487286,0.2204844109720928,0.019128546209233096,0.2753377185398578,0.03672228003512429,0.05658221768008783,0.1307348251725049,0.05747864213350766,0.03333683643142237,0.03360278847663727,0.012257264884976592,0.07825604735525268,0.11239567592262038,0.10918711228606083,0.020196492150020257,0.03811629454623769
0.3043985924767127,0.14813499317657228,0.03549050596225695,81,0.01718484460013776,0.017398849267782134,0.23494643886635153,0.019401981053818195,0.011698806767332882,0.012989729723033411,0.03718333177956484,0.08369034425434557,0.05249671925747851,0.012367987319773994,0.012374922070228535,0.18431657566172524,0.053309021756077636,0.1402822687573513,0.03606099185348781,0.09470140577439042,0.038615077258534095,0.019413660422048982,0.2687019878638225,0.03600803285321831,0.01769471395590433,img\DSCN3546.JPG,0.23281985255986626,0.18941296063727875,0.018041948189449538,0.2220067992867836,0.03670886130012384,0.04286004689443803,0.12414309440664092,0.04083081830562983,0.03723588530812871,0.0360835247332374,0.017807760842079516,0.04992408849510058,0.09345223258381997,0.08682905057132345,0.019975046170961575,0.035972679679336164
0.3715113290307616,0.20099241670135548,0.05001302139819202,85,0.024659587577342233,0.02002572159716444,0.3293831859205294,0.025160663574093276,0.020098118427749556,0.020943692453824762,0.048665081087566675,0.11366497620416767,0.07012725285273796,0.020578384666192218,0.02150857160514659,0.24355715820594198,0.07103526163790164,0.19302892457344029,0.04492132966766913,0.13635438004122274,0.04814731165232061,0.024227062608256134,0.33058732724940554,0.04661343862529876,0.02177119823897108,img\DSCN3553.JPG,0.3335842834584836,0.2548236671702216,0.027298388269543866,0.31476979170000974,0.0525598785732891,0.05545795369425503,0.15124119117545737,0.059436225226287075,0.05070761432504361,0.05261011487654926,0.029074672363965763,0.10646916699073594,0.13382878021315978,0.12839376451673515,0.031818416149209626,0.05163335003545793
0.4500462360806777,0.2321105599555934,0.06221018265934191,95,0.03187679653103943,0.022431401918252724,0.460556189398903,0.03317021776073771,0.018988591724064464,0.019609788844382647,0.06397995460747527,0.1424856730339843,0.09271927184551498,0.02002845512858638,0.02023462196042241,0.36640969428746006,0.08382785706434874,0.30069616499138113,0.05183540669249033,0.16008868371313248,0.05611914914333011,0.026465151201908527,0.37728186198155056,0.06224939031063054,0.03164629416915514,img\DSCN3565.JPG,0.45933270307166485,0.31817593824491586,0.03334839747389626,0.43703703037545455,0.06314049067937805,0.06062391148451531,0.18632097389518476,0.082113705212257,0.044200277468188,0.06093135766245123,0.03133598733216805,0.1307840223079142,0.15436035544806806,0.2286744474571458,0.037123750613447914,0.06376836759256056
0.3556997325177606,0.1752001456642656,0.04818111829383979,99,0.023567996639192686,0.019191503109136622,0.33112120708746634,0.024887046432519672,0.01771895411252817,0.018034584014449358,0.0488237870183676,0.10283699296165566,0.06790150782511299,0.017947417920330444,0.01808459554432514,0.2506517477914155,0.06613613121226632,0.20920272912290008,0.042410290056367254,0.12191861053967754,0.045291026859462145,0.02189523637347273,0.2957299159841265,0.04559908320643785,0.021202033356704567,img\DSCN3571.JPG,0.33674146335482746,0.23686695652757436,0.024793714130430206,0.3204032069724302,0.048642689534872316,0.04876033557376205,0.14263352685108496,0.05671893037147818,0.03475215253038388,0.04842049671833856,0.025621087750401252,0.1273923230102106,0.11940472082919752,0.15595724958050144,0.027203832830703822,0.04720427617339612
0.3598044771448968,0.1866317076141399,0.04668280285667006,105,0.023002052680750326,0.02205105208210462,0.30191741411773043,0.024012749198354374,0.01921943250575678,0.020015386475490598,0.047234768627710304,0.10623919984242615,0.06559188566611343,0.018881759976217882,0.018930305189097437,0.23404085043358155,0.06888109575551227,0.1822363632240698,0.04634042202719343,0.11983867798339007,0.048885397250291465,0.024530396055420504,0.29451166215915714,0.04414158174316403,0.020828769385511234,img\DSCN3580.JPG,0.3039985860010493,0.24062156352868555,0.024296526490536798,0.29387164349994765,0.04885337745521881,0.06221814770191317,0.13502200611201634,0.04493897478258835,0.05016591525514883,0.0485521254661438,0.02500669378828374,0.0872417595346665,0.11817476853996103,0.11549706374619584,0.02803250549430193,0.0459883208065915
0.29761174840427507,0.1349888881540488,0.04324002916265944,108,0.02049877443604877,0.01749803583212612,0.23620073352389356,0.02228670427524273,0.018939555002730066,0.019525846937949974,0.043815276065239765,0.08330416620437016,0.06065757713148262,0.019668964041354577,0.019675519347821843,0.15201804153488838,0.05896604464220114,0.12812788708316183,0.03851367446892537,0.10808134182431965,0.040541013492165406,0.01982853325137807,0.2445843441343701,0.04164043385818964,0.019681821921688637,img\DSCN3596.JPG,0.2514492072612424,0.20214283800586186,0.021984683702137287,0.23085654517160795,0.043586518795859994,0.041071442731005124,0.1417688045362156,0.0513260990797649,0.015430422565040309,0.044608261064041636,0.024352645295388265,0.0642966314106428,0.10360308445780311,0.1013526595127789,0.024787562355259796,0.04352350713017096
0.325354291280018,0.16677906291453054,0.04041970256339482,112,0.019295929177302034,0.018491382745947364,0.2889689521447543,0.020049242745358152,0.017069037403917388,0.01821673239611135,0.040401882285639026,0.09043915357577445,0.05676520913665995,0.018282849882489866,0.018474636550696033,0.21185755181907906,0.05883304408219571,0.17583586406592047,0.0390034030901968,0.11351250856606711,0.04170317263241739,0.020606921584096348,0.28607102383895394,0.0390625470512075,0.018630435156497104,img\DSCN3603.JPG,0.30681370311633577,0.20603081975614537,0.021284202532251623,0.28415038364788114,0.04234044298104544,0.053584025490498885,0.10525633267014518,0.04580473033086906,0.04165805090557232,0.0420020449166819,0.02228833717300307,0.0996653487534129,0.11070715305126233,0.12260565715031006,0.025485168780260217,0.04145387929112012
0.37117199821928837,0.203661890364382,0.053925108692112755,117,0.026151261934380846,0.023053427792581457,0.3237149851763079,0.0275401355863858,0.024139556361001825,0.024923914870676033,0.05431544960512192,0.12144864903935623,0.0740929491485359,0.025722828863252032,0.025288270951143638,0.2033924740666628,0.07419542142988586,0.17095699472304396,0.04935349511288958,0.15290356355057452,0.053308111453570395,0.02630825728501847,0.30483656635602124,0.050229551375929514,0.022880322450642688,img\DSCN3612.JPG,0.3451383557222829,0.26953327811346817,0.026741400199821682,0.32018816408528494,0.05379994786865414,0.06645747283437836,0.16255413292862292,0.0706485956616383,0.03422117957905703,0.05469698385486439,0.028976761600097673,0.09013306093932182,0.14827056827821433,0.12014011225081257,0.03228037385906369,0.054160087333786494
0.36934808486019693,0.1660252765207799,0.03350973180329255,123,0.01580660509866557,0.016218998745930635,0.26802353578667065,0.01851373248900346,0.01203656838184623,0.012890644160683525,0.03565434327714949,0.09732710391720673,0.049041020589123914,0.013125964825220337,0.012235942301160431,0.1953640055056946,0.04542953493172785,0.15652880609577877,0.03274310113835731,0.11160728127046185,0.03602017774783365,0.018740371813873728,0.31432267123719154,0.03394254844148953,0.01629056255080461,img\DSCN3620.JPG,0.2754900759348169,0.19172350900731025,0.013693297588333004,0.263012190311386,0.029969478687378648,0.04418656512199388,0.12327691649921134,0.05766887547675637,0.03698649906171447,0.029585136892533222,0.013255474367679987,0.07068024260611086,0.10934394861444226,0.10212716795908866,0.017326816274430723,0.033427168355129204
